patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
Armstrong Beach,Truro,Sanderling,Barnstable County,9/20/2019,Released,Injured,1453,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1454,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1455,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1456,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1457,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1458,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1459,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Dead on arrival,"Collision - Wires, Disease",1460,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/23/2019,Euthanized in 24hr,Collision - Wires,1461,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Euthanized in 24hr,"Collision - Wires, Injured, Disease",1462,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Euthanized in 24hr,"Collision - Wires, Injured, Disease",1463,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Euthanized in 24hr,"Collision - Wires, Disease",1464,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Euthanized in 24hr,"Collision - Wires, Injured, Disease",1465,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Euthanized in 24hr,"Collision - Wires, Injured, Disease",1466,2019,
Great Pond,Eastham,Laughing Gull,Barnstable County,9/24/2019,Dead on arrival,Collision - Wires,1467,2019,
"Route 134  Doane, Beal, Ames Funeral Home",South Dennis,Eastern Gray Squirrel,Barnstable County,9/27/2019,Dead on arrival,Orphaned,1468,2019,2660
"Route 134 Doane, Beal, Ames Funeral Home",South Dennis,Eastern Gray Squirrel,Barnstable County,9/27/2019,Died +24hr,Orphaned,1469,2019,2660
"Route 134 Doane, Beal, Ames Funeral Home",South Dennis,Eastern Gray Squirrel,Barnstable County,9/27/2019,Died +24hr,Orphaned,1470,2019,2660
8 Twitchknot Farm Way,Orleans,Blue-headed Vireo,Barnstable County,9/29/2019,Released,Collision - Window,1471,2019,2653
Center of Wellfleet,Wellfleet,Wild Turkey,Barnstable County,9/30/2019,Died in 24hr,,1472,2019,2657
Route 6 near Police Dept.,Wellfleet,Wild Turkey,Barnstable County,9/30/2019,Died in 24hr,Injured,1473,2019,
695 Wakeby Road,Marstons Mills,monarch butterfly,Barnstable County,9/30/2019,Died +24hr,Maladaptation,1474,2019,2648
Provincetown Pier @ Marina,Provincetown,Common Tern,Barnstable County,9/30/2019,Died in 24hr,orphan,1475,2019,
Unknown,Unknown,American Crow,,9/21/2019,Released,,1476,2019,
10 Oyster Leaf Lane,Brewster,Eastern Cottontail,Barnstable County,10/1/2019,Died in 24hr,,1477,2019,2631
Coast Guard Beach,Eastham,White-footed Mouse,Barnstable County,10/1/2019,Died in 24hr,Orphaned,1478,2019,2642
190 Barley Neck Road,Orleans,Eastern Cottontail,Barnstable County,10/1/2019,Euthanized in 24hr,Disease,1479,2019,
3 Depot Road,Truro,Eastern Box Turtle,Barnstable County,10/10/2019,Died +24hr,Stepped On,1480,2019,2666
Chequessett Neck Road  (near bridge),Wellfleet,Northern Gannet,Barnstable County,10/13/2019,Died +24hr,Environmental,1481,2019,2118
Wellfleet Harbor,Wellfleet,Northern Gannet,Barnstable County,10/14/2019,Died +24hr,Foreign Objects - Rope,1482,2019,
Unknown,Provincetown,Northern Gannet,Barnstable County,10/14/2019,Died +24hr,"Environmental, Behavioral Stranding",1483,2019,2657
Luke's Liquors,Dennis,Mourning Dove,Barnstable County,10/14/2019,Died +24hr,Collision - Vehicle,1484,2019,2645
Linnel Beach,Brewster,Northern Gannet,Barnstable County,10/15/2019,Died +24hr,"Environmental, Behavioral Stranding",1485,2019,
Samoset Road,North Eastham,Northern Gannet,Barnstable County,10/15/2019,Died +24hr,Behavioral Stranding,1486,2019,
34 Hopkins Lane,Orleans,Carolina Wren,Barnstable County,10/15/2019,Released,Entrapment - Glue Trap,1487,2019,2643
Pleasant Bay - Bay Road,Orleans,Double-crested Cormorant,Barnstable County,10/16/2019,Euthanized in 24hr,Injured,1488,2019,
Woodland Way,Eastham,Northern Flicker,Barnstable County,10/16/2019,Died in 24hr,Injured,1489,2019,2642
Pheasant Restaurant  Route 6A,Dennis,Great Blue Heron,Barnstable County,10/17/2019,Euthanized in 24hr,Collision - Vehicle,1490,2019,
30 Lighthouse Lane,Eastham,Tufted Titmouse,Barnstable County,10/18/2019,Died in 24hr,Entrapment - Mouse Trap,1491,2019,
Great Island,Wellfleet,Double-crested Cormorant,Barnstable,10/18/2019,Euthanized in 24hr,,1492,2019,6033
27 Longnook Road,Truro,Eastern Cottontail,Barnstable County,10/18/2019,Dead on arrival,Animal Interaction - Dog,1493,2019,2652
15 Center Street,Dennisport,Black-throated Blue Warbler,Barnstable County,10/19/2019,Released,Collision - Window,1494,2019,2639
Maurice's Campground,Wellfleet,Mourning Dove,Barnstable County,10/19/2019,Euthanized in 24hr,"Animal Interaction - Cat, Disease",1495,2019,2651
Nauset Beach Inn,Orleans,Eastern Cottontail,Barnstable County,10/19/2019,Died +24hr,,1496,2019,2532
92 Woodview Drive,Brewster,Eastern Cottontail,Barnstable County,10/19/2019,Died in 24hr,Injured,1497,2019,2631
First Encounter Beach,Eastham,Common Loon,Barnstable County,10/19/2019,Died in 24hr,Behavioral Stranding,1498,2019,
Cape Cod Sea Camps Beach,Brewster,Northern Gannet,Barnstable County,10/19/2019,Died in 24hr,Behavioral Stranding,1499,2019,
Schoolhouse Road,Eastham,Virginia Opossum,Barnstable County,10/20/2019,Dead on arrival,Collision - Vehicle,1500,2019,
Aspinet & Massasoit Rd.,Eastham,Blackpoll Warbler,Barnstable County,10/20/2019,Died in 24hr,,1501,2019,2642
24 Cooper Road,Truro,Mourning Dove,Barnstable County,10/20/2019,Euthanized in 24hr,Injured,1502,2019,
Clay Hole Road,Brewster,Eastern Box Turtle,Barnstable County,8/8/2019,Released,Aural Abscess,1503,2019,2662
600 Old Queen Anne Road,Chatham,Common Snapping Turtle,Barnstable County,8/15/2019,Released,Collision - Vehicle,1504,2019,
Dennis Pond  Summer Street,Yarmouth,Mallard,Barnstable County,8/26/2019,Released,"Maladaptation,orphan",1505,2019,
Sisson Road,Harwichport,Mourning Dove,Barnstable County,8/26/2019,Euthanized +24hr,Collision - Window,1506,2019,2646
Jemima Pond,Eastham,Common Snapping Turtle,Barnstable County,8/29/2019,Transferred,Foreign Object - Fishing Line & Hook,1507,2019,10605
245 Turnip Field Road,North Eastham,Northern Gannet,Barnstable County,8/31/2019,Released,Foreign Object - String,1508,2019,
Sheeps Pond  Fishermans Lane,Brewster,Mallard,Barnstable County,8/31/2019,Released,Foreign Objects - Fishing Tackle,1509,2019,2631
1400 Nauset Road,Eastham,Meadow Vole,Barnstable County,9/3/2019,Released,"Animal Interaction - Cat, Entrapment - Netting",1510,2019,2642
Herringbrook Road,Eastham,Eastern Gray Squirrel,Barnstable County,9/3/2019,Died in 24hr,Collision - Vehicle,1511,2019,2651
Race Point Beach,Provincetown,Great Black-backed Gull,Barnstable County,9/3/2019,Euthanized +24hr,Foreign Objects - Fishing Line,1512,2019,
Samoset Road,North Eastham,Muskrat,Barnstable County,9/3/2019,Transferred,Injured,1513,2019,
15 Cross Road,South Orleans,Eastern Cottontail,Barnstable County,9/3/2019,Euthanized in 24hr,Animal Interaction - Dog,1514,2019,2662
Newcomb Hollow Beach,Wellfleet,Northern Gannet,Barnstable County,9/4/2019,Died in 24hr,Disease,1515,2019,2667
Mary's Lane,Bridgewater,American Crow,Plymouth County,9/5/2019,Euthanized +24hr,Disease,1516,2019,2768
Unknown,Provincetown,Piping Plover,Barnstable County,9/5/2019,Died +24hr,Injured,1517,2019,2667
Seaway Beach,Brewster,Double-crested Cormorant,Barnstable County,9/5/2019,Died in 24hr,Injured,1518,2019,
Unknown,Unknown,Red-tailed Hawk,,9/5/2019,Euthanized in 24hr,Injured,1519,2019,
Newcomb Hollow Beach,Wellfleet,Great Black-backed Gull,Barnstable County,9/5/2019,Died +24hr,Injured,1520,2019,
33 Cedar Land Road,Orleans,Eastern Cottontail,Barnstable County,9/6/2019,Died in 24hr,Injured,1521,2019,2653
130 Rock Harbor Road,Orleans,House Sparrow,Barnstable County,9/6/2019,Died +24hr,Animal Interaction - Dog,1522,2019,2653
33 Cedar Land Road,Orleans,Eastern Cottontail,Barnstable County,9/6/2019,Died in 24hr,Injured,1523,2019,2653
9 Scarsdale Avenue,Dennis,Eastern Cottontail,Barnstable County,9/6/2019,Died in 24hr,Injured,1524,2019,
Salt Pond,Eastham,Great Black-backed Gull,Barnstable County,9/6/2019,Died +24hr,Disease,1525,2019,
Intersection of Rte. 28 & Monument Road,Orleans,Gray Catbird,Barnstable County,9/6/2019,Died +24hr,"Collision - Vehicle,orphan",1526,2019,2662
65 Pells Fishing Road,Brewster,Eastern Cottontail,Barnstable County,9/6/2019,Died in 24hr,,1527,2019,2631
Beach at the end of Pochet Road,Orleans,Great Shearwater,Barnstable County,9/7/2019,Euthanized in 24hr,Injured,1528,2019,
4100 State Highway,Eastham,Eastern Cottontail,Barnstable County,9/8/2019,Dead on arrival,Injured,1529,2019,2631
Goose Pond Trail - Mass Audubon,Wellfleet,Gray Catbird,Barnstable County,9/7/2019,Dead on arrival,Injured,1530,2019,2139
Undercover Tent - 31 American Way,South Dennis,Eastern Cottontail,Barnstable County,9/6/2019,Died in 24hr,Animal Interaction - Cat,1531,2019,
Rayber Road,Orleans,Virginia Opossum,Barnstable County,9/8/2019,Died in 24hr,Injured,1532,2019,2667
10 Paradise Path,Harwich,Eastern Gray Squirrel,Barnstable County,8/8/2019,Released,Orphaned,1533,2019,2645
10 Paradise Path,Harwich,Eastern Gray Squirrel,Barnstable County,8/8/2019,Released,Orphaned,1534,2019,2645
Yankee Drive,Brewster,Great Black-backed Gull,Barnstable County,9/6/2019,Released,Disease,1535,2019,2631
Wagonwheel Road,Eastham,Eastern Box Turtle,Barnstable County,9/10/2019,Released,Injured,1536,2019,2642
11 Tom's Hill Path,Truro,Monarch Butterfly,Barnstable County,9/23/2019,Released,Injured,1537,2019,2666
Unknown,Wellfleet,Northern Flicker,Barnstable County,9/30/2019,Died +24hr,Entrapment - Net,1538,2019,
128 Seaview Road,Brewster,Common Grackle,Barnstable County,9/30/2019,Died +24hr,orphan,1539,2019,2631
90 Hokum Rock Road,Dennis,Eastern Cottontail,Barnstable County,10/2/2019,Euthanized in 24hr,Collision - Vehicle,1540,2019,2660
50 Gibson Road,Orleans,Eastern Screech Owl,Barnstable County,10/2/2019,Released,Entrapment - Tape,1541,2019,
Kingsbury Beach Road,Eastham,Eastern Cottontail,Barnstable County,10/2/2019,Dead on arrival,Collision - Vehicle,1542,2019,
Dyer Prence Beach,Eastham,Double-crested Cormorant,Barnstable County,10/2/2019,Dead on arrival,Injured,1543,2019,
Naughaut Bluffs Road,Wellfleet,Wild Turkey,Barnstable County,10/3/2019,Euthanized in 24hr,Collision - Vehicle,1544,2019,
62 South Village Road,West Dennis,Virginia Opossum,Barnstable County,10/3/2019,Died in 24hr,Collision - Vehicle,1545,2019,
253 Point of Rocks Road,Brewster,Eastern Screech Owl,Barnstable County,10/4/2019,Died in 24hr,Injured,1546,2019,
Unknown,Truro,Mourning Dove,Barnstable County,10/5/2019,Dead on arrival,,1547,2019,
24 Orleans Road,North Chatham,Wild Turkey,Barnstable County,10/5/2019,Died in 24hr,,1548,2019,
10 Smith Lane,Eastham,Mourning Dove,Barnstable County,10/6/2019,Euthanized in 24hr,Disease,1549,2019,
Coast Guard Beach at fee booth,Eastham,Great Black-backed Gull,Barnstable County,8/9/2019,Died +24hr,Injured,1550,2019,
Unknown,Truro,Eastern Cottontail,Barnstable County,8/9/2019,Died in 24hr,"Orphaned, Injured",1551,2019,
43 Fairview Drive,South Chatham,Eastern Cottontail,Barnstable County,8/9/2019,Died in 24hr,Disease,1552,2019,2659
Hardings Beach,Chatham,Common Tern,Barnstable County,8/9/2019,Died in 24hr,orphan,1553,2019,
151 Long Road,Harwich,Eastern Screech Owl,Barnstable County,8/9/2019,Died in 24hr,Injured,1554,2019,
210 Great Pond Road at Great Pond,Eastham,Mallard,Barnstable County,8/10/2019,Transferred,"Collision - Vehicle, orphan",1555,2019,22041
Forest Beach,Chatham,Least Tern,Barnstable County,8/10/2019,Euthanized in 24hr,"Injured, orphan",1556,2019,2650
65 Circle Drive,Eastham,Eastern Cottontail,Barnstable County,8/10/2019,Died +24hr,Animal Interaction - Dog,1557,2019,2642
24 Cockle Lane,Brewster,Gray Catbird,Barnstable County,8/10/2019,Died in 24hr,Collision - Window,1558,2019,2631
Amstrong Beach,Truro,Least Tern,Barnstable County,8/10/2019,Died in 24hr,"Injured, orphan",1559,2019,2631
514 Great Fields Road,Brewster,American Robin,Barnstable County,8/11/2019,Died in 24hr,Animal Interaction - Cat,1560,2019,2631
14 Robert Road,Harwich,Eastern Cottontail,Barnstable County,8/12/2019,Died in 24hr,"Animal Interaction, Injured",1561,2019,6470
Unknown,Unknown,Blue Jay,,10/27/2019,Released,,1562,2019,
74 Snow Rd.,Brewster,American Goldfinch,Barnstable County,10/22/2019,Euthanized +24hr,,1563,2019,2631
122 South Pond Rd.,Brewster,Eastern Garter Snake,Barnstable County,10/25/2019,Released,Entrapment,1564,2019,2631
unknown,harwich,Eastern Cottontail,Barnstable County,10/27/2019,Dead on arrival,Disease,1565,2019,1201
Winslow Landing Beach,Brewster,Common Loon,Barnstable County,10/26/2019,Died in 24hr,Behavioral Stranding,1566,2019,2642
37 Green end Ave.,Middletown,Common Snapping Turtle,Newport County,10/20/2019,Released,Nest/Habitat Disturbed,1567,2019,2842
19 Giddiah Road B,Orleans,Eastern Cottontail,Barnstable County,9/10/2019,Died in 24hr,,1568,2019,
Orleans Toyota,Orleans,White-footed Mouse,Barnstable County,9/10/2019,Died in 24hr,Orphaned,1569,2019,2645
Greenland Pond Road,Brewster,Eastern Cottontail,Barnstable County,9/11/2019,Died in 24hr,Injured,1570,2019,
Mews Antique Shop,Brewster,Eastern Cottontail,Barnstable County,9/11/2019,Died in 24hr,Injured,1571,2019,
29 William Maker Way,Brewster,Tufted Titmouse,Barnstable County,9/11/2019,Euthanized in 24hr,Injured,1572,2019,2631
68 Hinkley Road,Brewster,Eastern Cottontail,Barnstable County,9/11/2019,Died in 24hr,Injured,1573,2019,7422
1361 Main Street,Chatham,Eastern Cottontail,Barnstable County,9/12/2019,Died in 24hr,Injured,1574,2019,2659
70 Summit Street,Wellfleet,House Finch,Barnstable County,9/12/2019,Died in 24hr,Injured,1575,2019,
47 N. Pond Drive,Brewster,House Finch,Barnstable County,9/12/2019,Died in 24hr,Collision - Window,1576,2019,2631
50 Milbrode Avenue,Eastham,Mourning Dove,Barnstable County,9/12/2019,Euthanized in 24hr,Animal Interaction - Cat,1577,2019,2642
Route 137 East,Brewster,Virginia Opossum,Barnstable County,9/13/2019,Euthanized in 24hr,Collision - Vehicle,1578,2019,2661
Between Newcomb Hollow & Cahoon Holow beaches,Wellfleet,Northern Gannet,Barnstable County,9/13/2019,Died +24hr,Injured,1579,2019,2667
Newcomb Hollow Beach,Wellfleet,White-winged Scoter,Barnstable County,9/13/2019,Euthanized in 24hr,Injured,1580,2019,2667
Dyer Prence Road / Bridge Road,Eastham,Gray Catbird,Barnstable County,9/13/2019,Died in 24hr,"Injured, orphan",1581,2019,
Cranberry Cottages,Eastham,Red-bellied Woodpecker,Barnstable County,9/13/2019,Released,Collision - Window,1582,2019,17057
72 Tisquantom Road,Chatham,White-footed Mouse,Medway,9/10/2019,Euthanized in 24hr,Orphaned,1583,2019,
72 Tisquantom Road,Chatham,White-footed Mouse,Medway,9/10/2019,Euthanized in 24hr,Orphaned,1584,2019,
456 Pleasant Lake Avenue,Harwich,Northern Cardinal,Barnstable County,9/14/2019,Died +24hr,Collision - Window,1585,2019,2645
3 Cook Street,Provincetown,House Sparrow,Barnstable County,9/15/2019,Euthanized in 24hr,Animal Interaction - Cat,1586,2019,2657
Nauset Inlet,Eastham,Great Black-backed Gull,Barnstable County,9/15/2019,Died in 24hr,Disease,1587,2019,
75 Quanset Road,Orleans,Eastern Cottontail,Barnstable County,9/16/2019,Died in 24hr,,1588,2019,2653
Cold Storage,North Truro,Eastern Box Turtle,Barnstable County,9/14/2019,Released,Injured,1589,2019,51503
Great Pond Beach,Eastham,Laughing Gull,Barnstable County,9/23/2019,Released,,1590,2019,
55 Harding Road  P.O. Box 1792,North Eastham,Ruby-throated Hummingbird,Barnstable County,10/4/2019,Died +24hr,Environmental,1591,2019,2651
Route 6,Provincetown,Wild Turkey,Barnstable County,10/7/2019,Died in 24hr,Collision - Vehicle,1592,2019,2657
939 Route 28,Harwich,Virginia Opossum,Barnstable County,10/29/2019,Euthanized in 24hr,Entrapment - Snap Trap,1593,2019,
61 Newport Road,Brewster,Eastern Gray Squirrel,Barnstable County,10/8/2019,Euthanized in 24hr,Injured,1594,2019,2631
Unknown,Dennis,Double-crested Cormorant,,10/10/2019,Euthanized in 24hr,Injured,1595,2019,2648
Meetinghouse Road,Harwich,Wild Turkey,Barnstable County,10/12/2019,Dead on arrival,Disease - Pox,1596,2019,2645
50 Milbrode Avenue,Eastham,Eastern Chipmunk,Barnstable County,10/12/2019,Died in 24hr,Animal Interaction - Cat,1597,2019,2642
Unknown,Provincetown,Rock Pigeon,Barnstable County,10/12/2019,Euthanized in 24hr,Injured,1598,2019,
2 Nesting Way,East Sandwich,Northern Gannet,Barnstable County,10/12/2019,Died +24hr,"Environmental, Injured",1599,2019,
Nauset Outer Beach,Orleans,Northern Gannet,Barnstable County,10/13/2019,Euthanized in 24hr,Injured,1600,2019,2643
1/2 mile south of Newcomb Hollow Beach,Wellfleet,Northern Gannet,Barnstable County,10/13/2019,Euthanized in 24hr,Injured,1601,2019,
Post Office Restaurant,Provincetown,Common Grackle,Barnstable County,10/12/2019,Euthanized in 24hr,Injured,1602,2019,
70 Pinehill Drive,Brewster,White-footed Mouse,Barnstable County,10/14/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",1603,2019,2631
70 Pinehill Drive,Brewster,White-footed Mouse,Barnstable County,10/14/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",1604,2019,2631
Lover's Lane,Harwich,Eastern Cottontail,Barnstable County,5/19/2019,Transferred,Orphaned,1605,2019,2645
160 Long Pond Road,Harwich,Eastern Cottontail,Barnstable County,5/22/2019,Transferred,Orphaned,1606,2019,
160 Long Pond Drive,Harwich,Eastern Cottontail,Barnstable County,5/23/2019,Transferred,Orphaned,1607,2019,98070
Unknown,Orleans,Spotted Turtle,Barnstable County,6/6/2019,Transferred,,1608,2019,
Sisson Road - Community Gardens,Harwich,Eastern Box Turtle,Barnstable County,6/20/2019,Transferred,Collision - Garden Equipment - Weedwacker,1609,2019,2645
37 Old Valley Road,Brewster,Eastern Box Turtle,,7/13/2019,Transferred,Animal Interaction - Dog,1610,2019,2631
Winding Way,Plymouth,Eastern Painted Turtle,,7/27/2019,Transferred,Collision - Vehicle,1611,2019,2360
Mayo Beach,Wellfleet,Diamondback Terrapin,,8/5/2019,Transferred,Collision - Vehicle,1612,2019,
220 Sparrow Road,North Eastham,Great Black-backed Gull,Barnstable County,8/15/2019,Released,Injured,1613,2019,1720
Corporation Beach,Dennis,Herring Gull,Barnstable County,8/18/2019,Transferred,"Entrapment, Foreign Objects - Fishing Line",1614,2019,
Cape Cod Bay,Unknown,Green Tree Frog,,9/6/2019,Released,Entrapment,1615,2019,7924
275 Elm Street,Bridgewater,Eastern Gray Squirrel,Plymouth County,9/8/2019,Died +24hr,Orphaned,1616,2019,2072
35 Ryder Beach Road,Truro,Laughing Gull,Barnstable County,10/6/2019,Released,Disease,1617,2019,1886
Federal Road,Carver,Spotted Turtle,Plymouth County,10/10/2019,Transferred,Prolapse,1618,2019,2768
Mill Hill Road,Wellfleet,Eastern Box Turtle,Barnstable County,10/10/2019,Transferred,Animal Interaction,1619,2019,2667
Wellfleet Harbor,Wellfleet,Common Eider,Barnstable County,10/21/2019,Died +24hr,,1620,2019,2631
117 Route 6A (behind Cumberland Farms),Orleans,American Goldfinch,Barnstable County,10/22/2019,Died in 24hr,Collision - Vehicle,1621,2019,2645
Standish Street,Provincetown,Eastern Chipmunk,Barnstable County,10/22/2019,Died in 24hr,Injured,1622,2019,2657
6A exit from Orleans Rotary,Orleans,Herring Gull,Barnstable County County,10/23/2019,Euthanized in 24hr,Collision - Vehicle,1623,2019,2653
Across from Linda's Lane,North Eastham,Red-tailed Hawk,Barnstable County,10/23/2019,Euthanized in 24hr,Collision,1624,2019,
44 Bray Farm Road,Yarmouthport,Eastern Gray Squirrel,Barnstable County,8/28/2019,Released,Orphaned,1625,2019,
44 Bray Farm Road,Yarmouthport,Eastern Gray Squirrel,Barnstable County,8/28/2019,Released,Orphaned,1626,2019,
44 Bray Farm Road,Yarmouthport,Eastern Gray Squirrel,Barnstable County,8/28/2019,Released,Orphaned,1627,2019,
44 Bray Farm Road,Yarmouthport,Eastern Gray Squirrel,Barnstable County,8/28/2019,Released,Orphaned,1628,2019,
Cole Road/Pilgrims Path,Eastham,White-footed Mouse,Barnstable County,8/30/2019,Released,Injured,1629,2019,2474
270 Alston Avenue,Eastham,Blue Jay,Barnstable County,10/29/2019,Died in 24hr,Animal Interaction - Cat,1630,2019,2642
25 Pine Point Road,Wellfleet,Yellow-rumped Warbler,Barnstable County,10/29/2019,Died in 24hr,Animal Interaction Cat,1631,2019,2667
8 Coast Guard Road,North Truro,Raccoon,Barnstable County,10/30/2019,Transferred,Disease,1632,2019,2652
5 Hatch Court,Eastham,Great Blue Heron,Barnstable County,10/31/2019,Died in 24hr,,1633,2019,2642
White Cedar Swamp,Wellfleet,Great Blue Heron,Barnstable County,11/3/2019,Euthanized in 24hr,Injured,1634,2019,
Pamet area,North Truro,Diamondback Terrapin,Barnstable County,11/3/2019,Euthanized in 24hr,Injured,1635,2019,2666
60 Asa's Road,Eastham,American Crow,Barnstable County,6/7/2019,Released,"Injured,orphan",1636,2019,
24 Freeman Street,Harwichport,Mallard,Barnstable County,6/8/2019,Released,Orphaned,1637,2019,
99 Marconi Site Road,Wellfleet,Mallard,Barnstable County,6/29/2019,Released,Orphaned,1638,2019,2667
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Died +24hr,"Orphaned, Parent Known Dead",1639,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1640,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1641,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1642,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1643,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1644,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1645,2019,
Unknown,Waltham,Mallard,Middlesex County,6/19/2019,Released,"Orphaned, Parent Known Dead",1646,2019,
Unknown,Unknown,Eastern Gray Squirrel,,8/28/2019,Died in 24hr,Orphaned,1647,2019,
Unknown,Unknown,Eastern Gray Squirrel,,8/28/2019,Released,Orphaned,1648,2019,
Unknown,Unknown,Eastern Gray Squirrel,,8/28/2019,Released,Orphaned,1649,2019,
Unknown,Unknown,Eastern Gray Squirrel,,8/28/2019,Released,Orphaned,1650,2019,
5 Vineyard Circle,Forestdale,Eastern Gray Squirrel,Barnstable County,8/28/2019,Released,Orphaned,1651,2019,
251 Coles Neck Road,Wellfleet,Yellow-rumped Warbler,Barnstable County,9/24/2019,Euthanized in 24hr,Collision - Window,1652,2019,2139
73 Swift Lane,Brewster,Herring Gull,Barnstable County,10/16/2019,Released,Disease,1653,2019,2631
475 Route 6A,Eastham,Virginia Opossum,Barnstable County,10/28/2019,Released,Entrapment - Building,1654,2019,
Nauset Heights Road,Orleans,Eastern Cottontail,Barnstable County,11/4/2019,Euthanized +24hr,Collision - Vehicle,1655,2019,2643
16 Howland Lane,Wellfleet,Northern Cardinal,Barnstable County,11/4/2019,Died in 24hr,"Collision, Disease",1656,2019,2667
40 Way 35,Wellfleet,Golden-crowned Kinglet,Barnstable County,11/5/2019,Died +24hr,Collision - Window,1657,2019,2667
Brick Hill Road,Orleans,Eastern Chipmunk,Barnstable County,11/6/2019,Died in 24hr,Injured,1658,2019,2653
23 Lover's Lane,Orleans,Southern Flying Squirrel,Barnstable County,11/9/2019,Died in 24hr,Entrapment - Building,1659,2019,6033
Chapin Beach,Dennis,Dunlin,,11/9/2019,Dead on arrival,,1660,2019,2638
64 Calvin Drive,Dennis,Red Squirrel,Barnstable County,11/16/2019,Released,,1661,2019,2639
64 Calvin Drive,Dennis,red squirrel,Barnstable County,11/16/2019,Released,orphan,1662,2019,2639
38 Tunna St.,New Bedford,Eastern Gray Squirrel,Bristol County,11/16/2019,Released,"orphan, cat attack",1663,2019,2740
unknown,Brewster,Eastern Gray Squirrel,Barnstable County,8/15/2019,Released,orphan,1664,2019,2465
linden St.,Hyannis,Eastern Gray Squirrel,Barnstable County,8/20/2019,Void,,1665,2019,2601
linden St,Hyannis,Eastern Gray Squirrel,Barnstable County,8/20/2019,Released,,1666,2019,2601
Linden St.,Hyannis,Eastern Gray Squirrel,Barnstable County,8/20/2019,Released,,1667,2019,2601
25 old high toss bridge rd,Wellfleet,Eastern Gray Squirrel,Barnstable County,8/30/2019,Released,orphan,1668,2019,
9 Rock Harbor Rd.,Orleans,Eastern Gray Squirrel,Barnstable County,8/26/2019,Euthanized +24hr,,1669,2019,2667
9 Rock Harbor Rd,Orleans,Eastern Gray Squirrel,Barnstable County,8/26/2019,Euthanized +24hr,orphan,1670,2019,2667
9 Rock Harbor Rd,Orleans,Eastern Gray Squirrel,Barnstable County,8/26/2019,Released,orphan,1671,2019,2642
14 Capt Dean rd.,E. Orleans,blue jay,Barnstable County,7/9/2019,Released,,1672,2019,2643
55 Nickerson Rd,Orleans,blue jay,Barnstable County,7/31/2019,Released,orphan,1673,2019,2653
2045 Nauset Rd,N. Eastham,Fish Crow,Barnstable County,8/21/2019,Released,,1674,2019,2651
386 Route 6  Dune's Edge Campground,North Truro,Cedar Waxwing,Barnstable County,8/8/2019,Released,"Orphaned, Parent Known Dead",1675,2019,
12 Pine Grove,Chatham,Cedar Waxwing,Barnstable County,8/2/2019,Released,"Environmental, Orphaned, Fell from Nest",1676,2019,2633
55 Appleseed Road,Eastham,Gray Catbird,Barnstable County,8/2/2019,Released,Orphaned,1677,2019,2642
6 Jones Road,Orleans,Gray Catbird,Barnstable County,8/27/2019,Released,Collision - Window,1678,2019,2653
Pleasant bay Village Motel,Chatham,Cedar Waxwing,Barnstable County,7/23/2019,Died in 24hr,"Fell from Nest, Injured",1679,2019,
Pleasant Bay Village Motel,Chatham,Cedar Waxwing,Barnstable County,7/23/2019,Released,Fell from Nest,1680,2019,
Pleasant Bay Village Motel,Chatham,Cedar Waxwing,Barnstable County,7/23/2019,Released,Fell from Nest,1681,2019,
